Nome,Ano nasc,Ano morte,Cidade nasc,Região nasc,Cidade morte,Região morte
Agnello di Napoli,535,596,Napoli,Campania,Napoli,Campania
Agostino di Canterbury,534,604,Roma,Lazio,Canterbury,EXTERIOR - Inglaterra
Agrippino di Como,DESCONHECIDO,617,DESCONHECIDO,DESCONHECIDO,Como,Lombardia
Anselmo di Bomarzo,DESCONHECIDO,DESCONHECIDO,Bomarzo,Lazio,Bomarzo,Lazio
Ausano di Milano,DESCONHECIDO,567,Milano,Lombardia,Milano,Lombardia
Benedetto da Norcia,480,547,Norcia,Umbria,Montecassino,Lazio
Germano di Capua,DESCONHECIDO,540,Capua,Campania,Capua,Campania
Cassio di Narni,DESCONHECIDO,558,Narni,Umbria,Roma,Lazio
Cerbone di Populonia,DESCONHECIDO,575,Africa,EXTERIOR - África,Marciana,Toscana
Cetteo di Amiterno,DESCONHECIDO,597,DESCONHECIDO,DESCONHECIDO,Pescara,Abruzzo
Cipriano di Brescia,DESCONHECIDO,DESCONHECIDO,Brescia,Lombardia,Brescia,Lombardia
Elena di Laurino,509,530,Laurino,Campania,Laurino,Campania
Costanzo d'Aquino,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO
Dazio di Milano,DESCONHECIDO,552,Milano,Lombardia,Costantinopoli,EXTERIOR - Roma Oriental
Ellero di Galeata,476,578,Lucca,Toscana,Galeata,Emilia-Romagna
Ercolano di Perugia,DESCONHECIDO,549,DESCONHECIDO,DESCONHECIDO,Perugia,Umbria
Eutizio di Norcia,DESCONHECIDO,DESCONHECIDO,Norcia,Umbria,Foligno,Umbria
Faustina di Como,DESCONHECIDO,580,Pianello Val Tidone,Emilia-Romagna,Como,Lombardia
Papa Felice IV,DESCONHECIDO,530,Benevento,Campania,Roma,Lazio
Fiorenzo di Foligno,DESCONHECIDO,DESCONHECIDO,Norcia,Umbria,Norcia,Umbria
San Florido,520,599,Città di Castello,Umbria,Pietralunga,Umbria
Fortunato di Todi,DESCONHECIDO,565,DESCONHECIDO,DESCONHECIDO,Todi,Umbria
Fulgenzio di Otricoli,DESCONHECIDO,DESCONHECIDO,Otricoli,Umbria,Otricoli,Umbria
Gallo di Aosta,DESCONHECIDO,546,DESCONHECIDO,DESCONHECIDO,Aosta,Valle d'Aosta/Vallée d'Aoste
Generoso di Tivoli,DESCONHECIDO,475,Tivoli,Lazio,Tivoli,Lazio
Geronzio di Cervia,DESCONHECIDO,540,DESCONHECIDO,DESCONHECIDO,Cagli,Marche
Papa Giovanni I,DESCONHECIDO,526,Firenze,Toscana,Ravenna,Emilia-Romagna
Giustino di Chieti,DESCONHECIDO,540,Chieti,Abruzzo,DESCONHECIDO,DESCONHECIDO
Giusto e Clemente,DESCONHECIDO,DESCONHECIDO,Volterra,Toscana,Volterra,Toscana
Papa Gregorio I,540,604,Roma,Lazio,Roma,Lazio
Isacco di Monteluco,DESCONHECIDO,550,Siria,EXTERIOR - Síria,Spoleto,Umbria
Liberata da Como,DESCONHECIDO,580,Pianello Val Tidone,Emilia-Romagna,Como,Lombardia
Magno di Milano,DESCONHECIDO,530,Milano,Lombardia,Milano,Lombardia
Lorenzo Maiorano,440,545,Costantinopoli,EXTERIOR - Roma Oriental,Manfredonia,Puglia
Marcellino di Ancona,DESCONHECIDO,DESCONHECIDO,Ancona,Marche,Ancona,Marche
