Nome,Ano nasc,Ano morte,Cidade nasc,Região nasc,Cidade morte,Região morte
Pietro Pappacarbone,1038,1123,Salerno,Campania,Cava de' Tirreni,Campania
Pietro di Anagni,DESCONHECIDO,1105,DESCONHECIDO,DESCONHECIDO,Anagni,Lazio
Pietro Parenzo,DESCONHECIDO,1199,Roma,Lazio,Orvieto,Umbria
Alberto Quadrelli,1103,1173,Rivolta d'Adda,Lombardia,Lodi,Lombardia
Rainerio di Cagli,1110,1180,DESCONHECIDO,DESCONHECIDO,Spalato,ITÁLIA ANTIGA - Dalmácia
Ranieri Scacceri,1115,1161,Pisa,Toscana,Pisa,Toscana
Silvestro di Troina,1110,1164,Troina,Sicilia,Troina,Sicilia
Santa Rosalia,1130,1170,Palermo,Sicilia,Palermo,Sicilia
Stefano del Lupo,1099,1191,Carovilli,Molise,Manoppello,Abruzzo
Teobaldo Roggeri,1099,1150,Vicoforte,Piemonte,Alba,Piemonte
Raimondo Zanfogni,1139,1200,Piacenza,Emilia-Romagna,Piacenza,Emilia-Romagna
Agnese d'Assisi,1197,1253,Assisi,Umbria,Assisi,Umbria
Albertino da Montone,DESCONHECIDO,1294,Montone,Umbria,Montone,Umbria
Amato Ronconi,1226,1292,Saludecio,Emilia-Romagna,Rimini,Emilia-Romagna
Amadio degli Amidei,DESCONHECIDO,1266,Firenze,Toscana,Firenze,Toscana
Tesauro Beccaria,DESCONHECIDO,1258,Pavia,Lombardia,Firenze,Toscana
Filippo Benizi,1233,1285,Firenze,Toscana,Firenze,Toscana
Berardo Ottone Pietro Accursio e Adiuto,MÚLTIPLOS,1120,MÚLTIPLOS,Múltiplos locais,Marrakesh,EXTERIOR - Marrocos
Bona di Pisa,1156,1207,Pisa,Toscana,Pisa,Toscana
Bonaventura da Bagnoregio,1217,1274,Bagnoregio,Lazio,Lione,EXTERIOR - França
Papa Celestino V,1209,1296,Sant'Angelo Limosano,Molise,Fumone,Lazio
Chiara d'Assisi,1194,1253,Assisi,Umbria,Assisi,Umbria
Cono da Teggiano,DESCONHECIDO,DESCONHECIDO,Teggiano,Campania,Montesano sulla Marcellana,Campania
Contardo d'Este,1216,1249,Ferrara,Emilia-Romagna,Broni,Lombardia
Daniele Fasanella,DESCONHECIDO,1227,Belvedere Marittimo,Calabria,Ceuta,EXTERIOR - Espanha
Donato di Montevergine,DESCONHECIDO,1219,Salerno,Campania,Benevento,Campania
Fina da San Gimignano,1238,1253,San Gimignano,Toscana,San Gimignano,Toscana
Folco Scotti,1164,1229,Piacenza,Emilia-Romagna,Pavia,Lombardia
Franca da Vitalta,1175,1218,Piacenza,Emilia-Romagna,Piacenza,Emilia-Romagna
Francesco d'Assisi,1181,1226,Assisi,Umbria,Assisi,Umbria
Franco da Assergi,1154,DESCONHECIDO,Roio del Sangro,Abruzzo,DESCONHECIDO,DESCONHECIDO
Giovanni del Bastone,DESCONHECIDO,1290,Fabriano,Marche,Fabriano,Marche
Girio,DESCONHECIDO,1270,DESCONHECIDO,DESCONHECIDO,Potenza Picena,Marche
Illuminato da Rieti,DESCONHECIDO,DESCONHECIDO,Rieti,Lazio,DESCONHECIDO,DESCONHECIDO
Lucio di Cavargna,DESCONHECIDO,DESCONHECIDO,Cavargna,Lombardia,Cavargna,Lombardia
Margherita da Città di Castello,1287,1320,Mercatello sul Metauro,Marche,Città di Castello,Umbria
Margherita da Cortona,1247,1297,Castiglione del Lago,Umbria,Cortona,Toscana
Miro di Canzo,1236,1300,Canzo,Lombardia,Sorico,Lombardia
Obizio da Niardo,1150,1204,Niardo,Lombardia,Brescia,Lombardia
Paolino Bigazzini,1200,1280,Perugia,Umbria,Valfabbrica,Umbria
Pietro da Verona,1205,1252,Verona,Veneto,Seveso,Lombardia
Rinaldo di Nocera Umbra,1150,1257,Nocera Umbra,Umbria,Nocera Umbra,Umbria
Rodobaldo II di Pavia,DESCONHECIDO,1254,DESCONHECIDO,DESCONHECIDO,Pavia,Lombardia
Rosa da Viterbo,1233,1251,Viterbo,Lazio,Viterbo,Lazio
Benvenuto Scotivoli,DESCONHECIDO,1282,Ancona,Marche,Osimo,Marche
Sette santi fondatori,MÚLTIPLOS,MÚLTIPLOS,MÚLTIPLOS,Múltiplos locais,MÚLTIPLOS,Múltiplos locais
Tommaso d'Aquino,1225,1274,Roccasecca,Lazio,Priverno,Lazio
Toscana di Zevio,1280,1344,Zevio,Veneto,Verona,Veneto
Ubaldesca Taccini,1136,1205,Calcinaia,Toscana,Pisa,Toscana
Ugo Canefri,1148,1123,Castellazzo Bormida,Piemonte,Genova,Liguria
Santa Verdiana,1182,1242,Castelfiorentino,Toscana,Castelfiorentino,Toscana
Zita di Lucca,1218,1278,Lucca,Toscana,Lucca,Toscana
Agnese di Montepulciano,1268,1317,Montepulciano,Toscana,Montepulciano,Toscana
Alberto degli Abati,1240,1307,Trapani,Sicilia,Messina,Sicilia
Andrea Corsini (santo),1301,1374,Firenze,Toscana,Fiesole,Toscana
Angela da Foligno,1248,1309,Foligno,Umbria,Foligno,Umbria
Bernardo Tolomei (santo),1272,1348,Siena,Toscana,Siena,Toscana
Caterina da Siena,1347,1380,Siena,Toscana,Roma,Lazio
Chiara da Montefalco,1268,1308,Montefalco,Umbria,Montefalco,Umbria
Euseo di Serravalle,DESCONHECIDO,DESCONHECIDO,Serravalle Sesia,Piemonte,Serravalle Sesia,Piemonte
Alessio Falconieri,1200,1310,Firenze,Toscana,Vaglia,Toscana
Giuliana Falconieri,1270,1341,Firenze,Toscana,Firenze,Toscana
Nicola da Tolentino,1245,1305,Sant'Angelo in Pontano,Marche,Tolentino,Marche
Pellegrino Laziosi,1265,1345,Forlì,Emilia-Romagna,Forlì,Emilia-Romagna
Pietro Crisci da Foligno,1243,1323,Foligno,Umbria,Foligno,Umbria
Stefano da Cuneo,1340,1391,Cuneo,Piemonte,Gerusalemme,Terra Santa
Santa Umiltà,1226,1310,Faenza,Emilia-Romagna,Firenze,Toscana
Vitale d'Assisi,1295,1370,Bastia Umbra,Umbria,Assisi,Umbria
Antonino Pierozzi,1389,1459,Firenze,Toscana,Firenze,Toscana
Bernardino da Siena,1380,1444,Massa Marittima,Toscana,L'Aquila,Abruzzo
Caterina da Bologna,1413,1463,Bologna,Emilia-Romagna,Bologna,Emilia-Romagna
Eustochia Calafato,1434,1485,Messina,Sicilia,Messina,Sicilia
Giacomo della Marca,1393,1476,Monteprandone,Marche,Napoli,Campania
Giovanni da Capestrano,1386,1456,Capestrano,Abruzzo,Ilok,EXTERIOR - atual Croácia
Lorenzo Giustiniani,1380,1456,Venezia,Veneto,Venezia,Veneto
Martiri di Otranto,MÚLTIPLOS,1480,Otranto,Puglia,Otranto,Puglia
Sant'Orante,1400,1431,Catanzaro,Calabria,Ortucchio,Abruzzo
Rita da Cascia,1371,1457,Cascia,Umbria,Cascia,Umbria
Francesca Romana,1384,1440,Roma,Lazio,Roma,Lazio
Simonino di Trento,1472,1475,Trento,Trentino-Alto Adige/Südtirol,Trento,Trentino-Alto Adige/Südtirol
Alessandro Sauli,1534,1592,Milano,Lombardia,Calosso,Piemonte
Angela Merici,1474,1540,Desenzano del Garda,Lombardia,Brescia,Lombardia
Antonio Maria Zaccaria,1502,1539,Cremona,Lombardia,Cremona,Lombardia
Benedetto da San Fratello,1524,1589,San Fratello,Sicilia,Palermo,Sicilia
Carlo Borromeo,1538,1584,Arona,Piemonte,Milano,Lombardia
Camilla Battista da Varano,1458,1524,Camerino,Marche,Camerino,Marche
Caterina da Genova,1447,1510,Genova,Liguria,Genova,Liguria
Caterina de' Ricci,1522,1590,Firenze,Toscana,Prato,Toscana
Felice da Cantalice,1515,1587,Cantalice,Lazio,Roma,Lazio
Francesco da Paola,1416,1507,Paola,Calabria,Castello di Plessis-lez-Tours,EXTERIOR - França
Girolamo Emiliani,1486,1537,Venezia,Veneto,Vercurago,Lombardia
Giovanni Maria Scolarici,DESCONHECIDO,1544,Piraino,Sicilia,Piraino,Sicilia
Luigi Gonzaga,1568,1591,Castiglione delle Stiviere,Lombardia,Roma,Lazio
Isabella Maria della Passione,DESCONHECIDO,1530,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO
Giovanni Leonardi,1541,1609,Borgo a Mozzano,Toscana,Roma,Lazio
Giacinta Marescotti,1585,1640,Vignanello,Lazio,Viterbo,Lazio
Maria Maddalena de' Pazzi,1566,1607,Firenze,Toscana,Firenze,Toscana
Filippo Neri,1515,1595,Firenze,Toscana,Roma,Lazio
Papa Pio V,1504,1572,Bosco Marengo,Piemonte,Roma,Lazio
Gaetano Thiene,1480,1557,Vicenza,Veneto,Napoli,Campania
Andrea Avellino,1521,1608,Castronuovo di Sant'Andrea,Basilicata,Napoli,Campania
Gregorio Barbarigo,1625,1697,Venezia,Veneto,Padova,Veneto
Bernardino Realino,1530,1616,Carpi,Emilia-Romagna,Lecce,Puglia
Bernardo da Corleone,1605,1667,Corleone,Sicilia,Palermo,Sicilia
Carlo da Sezze,1613,1670,Sezze,Lazio,Roma,Lazio
Virginia Centurione Bracelli,1587,1651,Genova,Liguria,Genova,Liguria
Camillo de Lellis,1550,1614,Bucchianico,Abruzzo,Roma,Lazio
Francesco Caracciolo,1563,1608,Villa Santa Maria,Abruzzo,Agnone,Molise
Giacinto Giordano Ansalone,1598,1634,Santo Stefano Quisquina,Sicilia,Nagasaki,EXTERIOR - Japão
Giovan Giuseppe della Croce,1654,1734,Ischia,Campania,Napoli,Campania
Giuseppe da Copertino,1603,1663,Copertino,Puglia,Osimo,Marche
Giuseppe da Leonessa,1556,1612,Leonessa,Lazio,Amatrice,Lazio
Lorenzo da Brindisi,1559,1619,Brindisi,Puglia,Lisbona,EXTERIOR - Portugal
Pacifico da San Severino,1653,1721,San Severino Marche,Marche,San Severino Marche,Marche
Roberto Bellarmino,1542,1621,Montepulciano,Toscana,Roma,Lazio
Serafino da Montegranaro,1540,1604,Montegranaro,Marche,Ascoli Piceno,Marche
Umile da Bisignano,1582,1637,Bisignano,Calabria,Bisignano,Calabria
Veronica Giuliani,1660,1727,Mercatello sul Metauro,Marche,Città di Castello,Umbria
Angelo d'Acri,1669,1739,Acri,Calabria,Acri,Calabria
Crispino da Viterbo,1668,1750,Viterbo,Lazio,Roma,Lazio
Francesco De Geronimo,1642,1716,Grottaglie,Puglia,Napoli,Campania
Alfonso Maria de' Liguori,1696,1787,Napoli,Campania,Nocera Superiore,Campania
Egidio Maria da Taranto,1729,1812,Taranto,Puglia,Napoli,Campania
Felice di Nicosia,1715,1787,Nicosia,Sicilia,Nicosia,Sicilia
Francesco Antonio Fasani,1681,1742,Lucera,Puglia,Lucera,Puglia
Gerardo Maiella,1726,1755,Muro Lucano,Basilicata,Caposele,Campania
Giovanni Battista de' Rossi,1698,1764,Voltaggio,Piemonte,Roma,Lazio
Giuseppe Maria Tomasi,1649,1713,Licata,Sicilia,Roma,Lazio
Ignazio da Laconi,1701,1781,Laconi,Sardegna,Cagliari,Sardegna
Ignazio da Santhià,1686,1770,Santhià,Piemonte,Torino,Piemonte
Leonardo da Porto Maurizio,1676,1751,Porto Maurizio,Liguria,Roma,Lazio
Lucia Filippini,1672,1732,Tarquinia,Lazio,Montefiascone,Lazio
Maria Francesca delle Cinque Piaghe,1715,1791,Napoli,Campania,Napoli,Campania
Nicola da Longobardi,1650,1709,Longobardi,Calabria,Roma,Lazio
Paolo della Croce,1694,1775,Ovada,Piemonte,Roma,Lazio
Pompilio Maria Pirrotti,1710,1766,Montecalvo Irpino,Campania,Campi Salentina,Puglia
Teresa Margherita Redi,1747,1770,Arezzo,Toscana,Firenze,Toscana
Rosa Venerini,1656,1728,Viterbo,Lazio,Roma,Lazio
Teofilo da Corte,1676,1740,Corte,EXTERIOR - França,Fucecchio,Toscana
Tommaso da Cori,1655,1729,Cori,Lazio,Bellegra,Lazio
Agostina Pietrantoni,1864,1894,Pozzaglia Sabina,Lazio,Roma,Lazio
Antonino Fantosati,1842,1900,Trevi,Umbria,Hengyang,EXTERIOR - China
Antonio Maria Gianelli,1789,1846,Carro,Liguria,Piacenza,Emilia-Romagna
Antonio Maria Pucci,1819,1892,Vernio,Toscana,Viareggio,Toscana
Bartolomea Capitanio,1807,1833,Lovere,Lombardia,Lovere,Lombardia
Benedetta Cambiagio Frassinello,1791,1858,Campomorone,Liguria,Ronco Scrivia,Liguria
Giovanni Bosco,1815,1888,Castelnuovo Don Bosco,Piemonte,Torino,Piemonte
Giuseppe Cafasso,1811,1860,Castelnuovo Don Bosco,Piemonte,Torino,Piemonte
Gaetano Catanoso,1879,1963,San Lorenzo,Calabria,Reggio di Calabria,Calabria
Caterina Volpicelli,1839,1894,Napoli,Campania,Napoli,Campania
Cesidio da Fossa,1873,1900,Fossa,Abruzzo,Hengyang,EXTERIOR - China
Clelia Barbieri,1847,1870,San Giovanni in Persiceto,Emilia-Romagna,San Giovanni in Persiceto,Emilia-Romagna
Giuseppe Benedetto Cottolengo,1786,1842,Bra,Piemonte,Chieri,Piemonte
Alberico Crescitelli,1863,1900,Altavilla Irpina,Campania,Yentsepien,EXTERIOR - China
Daniele Comboni,1831,1881,Limone sul Garda,Lombardia,Khartum,EXTERIOR - Sudão
Giustino de Jacobis,1800,1860,San Fele,Basilicata,Eidale,EXTERIOR - Eritréia
Gaspare del Bufalo,1786,1837,Roma,Lazio,Roma,Lazio
Elia Facchini,1839,1900,Cento,Emilia-Romagna,Taiyuan,EXTERIOR - China
Francesco Fogolla,1839,1900,Mulazzo,Toscana,Taiyuan,EXTERIOR - China
Francesco Maria da Camporosso,1804,1886,Camporosso,Liguria,Genova,Liguria
Francesco Saverio Maria Bianchi,1743,1815,Arpino,Lazio,Napoli,Campania
Paola Frassinetti (santa),1809,1882,Genova,Liguria,Roma,Lazio
Alfonso Maria Fusco,1839,1910,Angri,Campania,Angri,Campania
Gabriele dell'Addolorata,1838,1862,Assisi,Umbria,Isola del Gran Sasso d'Italia,Abruzzo
Gaetano Errico,1791,1860,Napoli,Campania,Napoli,Campania
Gaspare Bertoni,1777,1853,Verona,Veneto,Verona,Veneto
Giovanni Antonio Farina,1803,1888,Gambellara,Veneto,Vicenza,Veneto
Giovanni da Triora,1760,1816,Triora,Liguria,Changsha,EXTERIOR - China
Giuseppe Marello,1844,1895,Torino,Piemonte,Savona,Liguria
Gregorio Maria Grassi,1833,1900,Castellazzo Bormida,Piemonte,Taiyuan,EXTERIOR - China
Lodovico Pavoni,1784,1849,Brescia,Lombardia,Rodengo Saiano,Lombardia
Ludovico da Casoria,1814,1885,Casoria,Campania,Napoli,Campania
Maddalena di Canossa,1774,1835,Verona,Veneto,Verona,Veneto
Maria Crocifissa Di Rosa,1813,1855,Brescia,Lombardia,Brescia,Lombardia
Maria De Mattias,1805,1866,Vallecorsa,Lazio,Roma,Lazio
Maria Domenica Mazzarello,1837,1881,Mornese,Piemonte,Nizza Monferrato,Piemonte
Maria Giuseppa Rossello,1811,1880,Albissola Marina,Liguria,Savona,Liguria
Leonardo Murialdo,1828,1900,Torino,Piemonte,Torino,Piemonte
Vincenzo Pallotti,1795,1850,Roma,Lazio,Roma,Lazio
Paola Elisabetta Cerioli,1816,1865,Soncino,Lombardia,Seriate,Lombardia
Domenico Savio,1842,1857,Riva presso Chieri,Piemonte,Castelnuovo Don Bosco,Piemonte
Luigi Scrosoppi,1804,1884,Udine,Friuli-Venezia Giulia,Udine,Friuli-Venezia Giulia
Vincenzo Maria Strambi,1745,1824,Civitavecchia,Lazio,Roma,Lazio
Nunzio Sulprizio,1817,1836,Pescosansonesco,Abruzzo,Napoli,Campania
Teresa Eustochio Verzeri,1801,1852,Bergamo,Lombardia,Brescia,Lombardia
Vincenza Gerosa,1784,1847,Lovere,Lombardia,Lovere,Lombardia
Vincenzo Romano (santo),1751,1831,Torre del Greco,Campania,Torre del Greco,Campania
Agostino Roscelli,1818,1902,Casarza Ligure,Liguria,Genova,Liguria
Annibale Maria Di Francia,1851,1927,Messina,Sicilia,Messina,Sicilia
Arcangelo Tadini,1846,1912,Verolanuova,Lombardia,Botticino,Lombardia
Benedetto Menni,1841,1914,Milano,Lombardia,Dinan,EXTERIOR - França
Callisto Caravario,1903,1930,Cuorgnè,Piemonte,Shaoguan,EXTERIOR - China
Filippo Smaldone,1848,1923,Napoli,Campania,Lecce,Puglia
Francesco Spinelli,1853,1913,Milano,Lombardia,Rivolta d'Adda,Lombardia
Gemma Galgani,1878,1903,Capannori,Toscana,Lucca,Toscana
Geltrude Comensoli,1847,1903,Bienno,Lombardia,Bergamo,Lombardia
Gianna Beretta Molla,1922,1962,Magenta,Lombardia,Magenta,Lombardia
Giovanni Battista Piamarta,1841,1913,Brescia,Lombardia,Remedello,Lombardia
Giovanni Calabria,1873,1954,Verona,Veneto,Verona,Veneto
Giulia Salzano,1846,1929,Santa Maria Capua Vetere,Campania,Casoria,Campania
Giuseppina Vannini,1859,1911,Roma,Lazio,Roma,Lazio
Maria Goretti,1890,1902,Corinaldo,Marche,Nettuno,Lazio
Guido Maria Conforti,1865,1931,Parma,Emilia-Romagna,Parma,Emilia-Romagna
Luigi Guanella,1842,1915,Campodolcino,Lombardia,Como,Lombardia
Luigi Orione,1872,1940,Pontecurone,Piemonte,Sanremo,Liguria
Luigi Versiglia,1873,1930,Oliva Gessi,Lombardia,Litouzui,EXTERIOR - China
Maria Bertilla Boscardin,1888,1922,Brendola,Veneto,Treviso,Veneto
Maria Cristina Brando,1856,1906,Napoli,Campania,Casoria,Campania
Giuseppe Moscati,1880,1927,Benevento,Campania,Napoli,Campania
Paolina Visintainer,1865,1942,Altopiano della Vigolana,Trentino-Alto Adige/Südtirol,São Paulo,EXTERIOR - Brasil
Papa Pio X,1835,1914,Riese Pio X,Veneto,Roma,Lazio
Padre Pio da Pietrelcina,1887,1968,Pietrelcina,Campania,San Giovanni Rotondo,Puglia
Riccardo Pampuri,1897,1930,Trivolzio,Lombardia,Milano,Lombardia
Vincenzo Grossi,1845,1917,Pizzighettone,Lombardia,Casalmaggiore,Lombardia
Papa Pio IX,1792,1878,Senigallia,Marche,Roma,Lazio
Papa Pio XII,1876,1958,Roma,Lazio,Castel Gandolfo,Lazio
Frei Damião,1898,1997,Massarosa,Toscana,Recife,EXTERIOR - Brasil
Papa Leão XIII,1810,1903,Carpineto Romano,Lazio,Roma,Lazio
Curzio Nitoglia,1957,VIVO,Roma,Lazio,VIVO,PESSOA VIVA
Santo Ambrósio,339,397,Augusta Treverorum,EXTERIOR - atual Alemanha,Milano,Lombardia
San Gennaro,272,305,Benevento,Campania,Pozzuoli,Campania
Bartolo Longo,1841,1926,Latiano,Puglia,Scafati,Campania
Gabriele Amorth,1925,2016,Modena,Emilia-Romagna,Roma,Lazio
Papa Gregório XVI,1765,1846,Belluno,Veneto,Roma,Lazio
Papa Clemente XII,1652,1740,Firenze,Toscana,Roma,Lazio
