Name,Sex,Birthplace,Birthplace_UF,Year,City,Sport,Event,Medal
"Renata Aparecida ""Kóki"" da Costa",F,Assaí,Paraná,2004,Athina,Football,Football Women's Football,Silver
"Renata Aparecida ""Kóki"" da Costa",F,Assaí,Paraná,2008,Beijing,Football,Football Women's Football,Silver
Kahena Kunze,F,São Paulo,São Paulo,2016,Rio de Janeiro,Sailing,Sailing Women's Skiff,Gold
Leila de Souza Sobral Freitas,F,São Paulo,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Leila de Gomes de Barros,F,Brasília,Distrito Federal,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Leila de Gomes de Barros,F,Brasília,Distrito Federal,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
Jorge Luiz Fernandes Leite,M,Rio de Janeiro,Rio de Janeiro,1980,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Lilian Cristina Lopes Gonçalves,F,Sorocaba,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
"Danielle ""Dani"" Rodrigues Lins",F,Recife,Pernambuco,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Luan Guilherme de Jesus Vieira,M,São José do Rio Preto,São Paulo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Luan Garcia Teixeira,M,Vitória,Espírito Santo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Ricardo Samuel Lucarelli Santos de Souza,M,Contagem,Minas Gerais,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Lucas Pezzini Leiva,M,Dourados,Mato Grosso do Sul,2008,Beijing,Football,Football Men's Football,Bronze
Lucas Rodrigues Moura da Silva,M,São Paulo,São Paulo,2012,London,Football,Football Men's Football,Silver
Luiz Felipe Marques Fonteles,M,Curitiba,Paraná,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
"Luiz Carlos ""Luizão"" Bombonato Goulart",M,Rubinéia,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
Djan Garrido Madruga,M,Santos,São Paulo,1980,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Maurren Higa Maggi,F,São Carlos,São Paulo,2008,Beijing,Athletics,Athletics Women's Long Jump,Gold
"Marcelo ""Marcelinho"" Elgarten",M,Rio de Janeiro,Rio de Janeiro,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
"Marcelo José ""Marcelinho Paulista"" de Souza",M,Cotia,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
Marcelo Vieira da Silva Júnior,M,Rio de Janeiro,Rio de Janeiro,2008,Beijing,Football,Football Men's Football,Bronze
Marcelo Vieira da Silva Júnior,M,Rio de Janeiro,Rio de Janeiro,2012,London,Football,Football Men's Football,Silver
"Márcia Regina ""Márcia Fu"" Cunha",F,Juiz de Fora,Minas Gerais,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Marcus Vinícius Simões Freire,M,Bento Gonçalves,Rio Grande do Sul,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
"Marianne ""Mari"" Steinbrecher",F,São Paulo,São Paulo,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Arthur Nory Oyakawa Mariano,M,Campinas,São Paulo,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Wlamir Marques,M,São Vicente,São Paulo,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Wlamir Marques,M,São Vicente,São Paulo,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Yane Márcia Campos da Fonseca Marques,F,Afogados da Ingazeira,Pernambuco,2012,London,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
"Marcos ""Marquinhos"" Aoás Corrêa",M,São Paulo,São Paulo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Alberto Marson,M,Casa Branca,São Paulo,1948,London,Basketball,Basketball Men's Basketball,Bronze
Marta Vieira da Silva,F,Dois Riachos,Alagoas,2004,Athina,Football,Football Women's Football,Silver
Marta Vieira da Silva,F,Dois Riachos,Alagoas,2008,Beijing,Football,Football Women's Football,Silver
Marcus Laborne Mattioli,M,Belo Horizonte,Minas Gerais,1980,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Maurício Camargo Lima,M,Campinas,São Paulo,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Maurício Camargo Lima,M,Campinas,São Paulo,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
Maurine Dorneles Gonçalves,F,Rio Grande,Rio Grande do Sul,2008,Beijing,Football,Football Women's Football,Silver
"Andréia ""Maycon"" dos Santos",F,Lages,Santa Catarina,2004,Athina,Football,Football Women's Football,Silver
"Andréia ""Maycon"" dos Santos",F,Lages,Santa Catarina,2008,Beijing,Football,Football Women's Football,Silver
Sarah Gabrielle Cabral de Menezes,F,Teresina,Piauí,2012,London,Judo,Judo Women's Extra-Lightweight,Gold
Aurélio Fernández Miguel,M,São Paulo,São Paulo,1988,Seoul,Judo,Judo Men's Half-Heavyweight,Gold
Aurélio Fernández Miguel,M,São Paulo,São Paulo,1996,Atlanta,Judo,Judo Men's Half-Heavyweight,Bronze
Milton Luiz de Souza Filho,M,Rio de Janeiro,Rio de Janeiro,1988,Seoul,Football,Football Men's Football,Silver
Victor Mirshauswka,M,Cherni,Exterior,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Mônica Angélica de Paula,F,São Carlos,São Paulo,2004,Athina,Football,Football Women's Football,Silver
José Montanaro Júnior,M,São Paulo,São Paulo,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
José Carlos Gomes Moreira,M,Codó,Maranhão,2008,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Ana Beatriz Moser,F,Blumenau,Santa Catarina,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
"Carlos ""Mosquito"" Domingos Massoni",M,São Paulo,São Paulo,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
"Carlos ""Mosquito"" Domingos Massoni",M,São Paulo,São Paulo,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Murilo Endres,M,Passo Fundo,Rio Grande do Sul,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
Murilo Endres,M,Passo Fundo,Rio Grande do Sul,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Nalbert Tavares Bitencourt,M,Rio de Janeiro,Rio de Janeiro,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
Narciso dos Santos,M,Neópolis,Sergipe,1996,Atlanta,Football,Football Men's Football,Bronze
André Luiz da Silva Nascimento,M,São João de Meriti,Rio de Janeiro,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
André Luiz da Silva Nascimento,M,São João de Meriti,Rio de Janeiro,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
Natália Zílio Pereira,F,Ponta Grossa,Paraná,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Marcelo Teles Negrão,M,São Paulo,São Paulo,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
José Ferreira Neto,M,Santo Antônio de Posse,São Paulo,1988,Seoul,Football,Football Men's Football,Silver
Norberto Murara Neto,M,Araxá,Minas Gerais,2012,London,Football,Football Men's Football,Silver
Leandro Vissotto Neves,M,Rio de Janeiro,Rio de Janeiro,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Thiago Neves Augusto,M,Curitiba,Paraná,2008,Beijing,Football,Football Men's Football,Bronze
Neymar da Silva Santos Júnior,M,Mogi das Cruzes,São Paulo,2012,London,Football,Football Men's Football,Silver
Neymar da Silva Santos Júnior,M,Mogi das Cruzes,São Paulo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Tetsuo Okamoto,M,Marília,São Paulo,1952,Helsinki,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Poliana Okimoto-Cintra,F,São Paulo,São Paulo,2016,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,Bronze
Fernanda Ryff Moreira Oliveira,F,Porto Alegre,Rio Grande do Sul,2008,Beijing,Sailing,Sailing Women's Two Person Dinghy,Bronze
Luiz Yoshio Onmura,M,São Paulo,São Paulo,1984,Los Angeles,Judo,Judo Men's Lightweight,Bronze
Oscar dos Santos Emboaba Júnior,M,Americana,São Paulo,2012,London,Football,Football Men's Football,Silver
Nilton Pacheco de Oliveira,M,Salvador,Bahia,1948,London,Basketball,Basketball Men's Basketball,Bronze
"André Felipe ""Pampa"" Falbo Ferreira",M,Recife,Pernambuco,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Guilherme Paraense,M,Belém,Pará,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
Guilherme Paraense,M,Belém,Pará,1920,Antwerpen,Shooting,"Shooting Men's Military Pistol, 30 metres",Gold
Maria Paula Gonçalves da Silva,F,Osvaldo Cruz,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Paula Renata Marques Pequeno,F,Brasília,Distrito Federal,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Paula Renata Marques Pequeno,F,Brasília,Distrito Federal,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
"Paulo André ""Paulão"" Jukoski da Silva",M,Porto Alegre,Rio Grande do Sul,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
"Henrique ""Kiko"" Pellicano",M,Rio de Janeiro,Rio de Janeiro,1996,Atlanta,Sailing,Sailing Mixed Multihull,Bronze
Eduardo Henrique Gomes Penido,M,Rio de Janeiro,Rio de Janeiro,1980,Moskva,Sailing,Sailing Mixed Two Person Dinghy,Gold
Thiago Machado Vilela Pereira,M,Volta Redonda,Rio de Janeiro,2012,London,Swimming,Swimming Men's 400 metres Individual Medley,Silver
Rodrigo de Paula Pessoa,M,Paris,Exterior,1996,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Rodrigo de Paula Pessoa,M,Paris,Exterior,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Rodrigo de Paula Pessoa,M,Paris,Exterior,2004,Athina,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
"Jorge Luiz ""Pinga"" Brum da Silva",M,Porto Alegre,Rio Grande do Sul,1984,Los Angeles,Football,Football Men's Football,Silver
Bruno Prada,M,São Paulo,São Paulo,2008,Beijing,Sailing,Sailing Men's Two Person Keelboat,Silver
Bruno Prada,M,São Paulo,São Paulo,2012,London,Sailing,Sailing Men's Two Person Keelboat,Bronze
